console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,total_sales_outlier,na_sales_outlier,jp_sales_outlier,pal_sales_outlier,other_sales_outlier,sales_cluster,log_sales,total_sales_minmax,na_sales_minmax,jp_sales_minmax,pal_sales_minmax,other_sales_minmax,critic_score_zscore,release_year,release_year_bin,na_ratio,jp_ratio,pal_ratio,other_ratio,has_regional_data,publisher_game_count,developer_game_count
PS4,ACTION,UBISOFT,RED STORM ENTERTAINMENT,6.8,0.28,0.11,0.0,0.12,0.05,2017-05-30,0,0,0,0,0,0,0.2468600779315258,0.01672862453531599,0.011270491803278689,0.0,0.017467248908296942,0.02032520325203252,-0.9144840110708192,2017.0,era_5,0.39285714285714285,0.0,0.4285714285714285,0.17857142857142858,1,483,8
PSV,ACTION,BANDAI NAMCO,OMEGA FORCE,7.5,0.13,0.0,0.13,0.0,0.0,2013-12-19,0,0,1,0,0,0,0.12221763272424921,0.007434944237918217,0.0,0.06103286384976526,0.0,0.0,0.12180651366298145,2013.0,era_4,0.0,1.0,0.0,0.0,1,167,80
X360,ACTION,CAPCOM,CYBERCONNECT2,7.5,0.26,0.17,0.01,0.06,0.02,2012-02-21,0,0,0,0,0,0,0.23111172096338664,0.015489467162329618,0.017418032786885248,0.004694835680751174,0.008733624454148471,0.008130081300813007,0.12180651366298145,2012.0,era_4,0.6538461538461539,0.038461538461538464,0.23076923076923075,0.07692307692307693,1,219,18
PS4,ACTION,505 GAMES,RE-LOGIC,7.5,0.07,0.0,0.01,0.05,0.01,2014-12-02,0,0,0,0,0,0,0.06765864847381481,0.003717472118959109,0.0,0.004694835680751174,0.00727802037845706,0.004065040650406504,0.12180651366298145,2014.0,era_5,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,1,48,3
DS,ACTION,UBISOFT,UBISOFT CASABLANCA,7.5,0.1,0.08,0.0,0.01,0.01,2006-12-14,0,0,0,0,0,2,0.09531017980432487,0.005576208178438662,0.00819672131147541,0.0,0.0014556040756914118,0.004065040650406504,0.12180651366298145,2006.0,era_2,0.7999999999999999,0.0,0.09999999999999999,0.09999999999999999,1,483,3
X360,ACTION,ACTIVISION,HIGH MOON STUDIOS,7.5,0.44,0.26,0.0,0.14,0.04,2013-06-25,0,0,0,0,0,0,0.3646431135879093,0.026641883519206943,0.026639344262295084,0.0,0.020378457059679767,0.016260162601626015,0.12180651366298145,2013.0,era_4,0.5909090909090909,0.0,0.31818181818181823,0.09090909090909091,1,501,8
WII,ACTION,DISNEY INTERACTIVE STUDIOS,TRAVELLER'S TALES,7.5,1.57,0.73,0.0,0.69,0.15,2011-05-10,1,1,0,1,1,0,0.9439058989071284,0.09665427509293681,0.07479508196721311,0.0,0.10043668122270741,0.06097560975609756,0.12180651366298145,2011.0,era_4,0.464968152866242,0.0,0.43949044585987257,0.09554140127388534,1,89,79
WII,ACTION,UBISOFT,GRASSHOPPER MANUFACTURE,8.2,0.56,0.29,0.04,0.17,0.05,2008-01-22,0,0,0,0,0,0,0.44468582126144574,0.034076827757125165,0.02971311475409836,0.018779342723004695,0.024745269286754003,0.02032520325203252,1.1580970383967808,2008.0,era_3,0.5178571428571428,0.07142857142857142,0.30357142857142855,0.08928571428571429,1,483,11
X360,ACTION,EA,UNKNOWN,7.5,0.25,0.22,0.0,0.01,0.02,2007-09-12,0,0,0,0,0,0,0.22314355131420976,0.014869888475836434,0.022540983606557378,0.0,0.0014556040756914118,0.008130081300813007,0.12180651366298145,2007.0,era_2,0.88,0.0,0.04,0.08,1,679,191
DS,ACTION,ACTIVISION,GRIPTONITE GAMES,7.5,0.74,0.41,0.0,0.25,0.08,2008-11-04,0,0,0,1,1,2,0.5538851132264376,0.04522924411400248,0.042008196721311473,0.0,0.036390101892285295,0.03252032520325203,0.12180651366298145,2008.0,era_3,0.5540540540540541,0.0,0.33783783783783783,0.10810810810810811,1,501,17
