console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,log_sales
PS3,ACTION,Rockstar Games,Rockstar North,9.4,20.32,6.37,0.99,9.85,3.12,3.0596455992976437
PS4,ACTION,Rockstar Games,Rockstar North,9.7,19.39,6.06,0.6,9.71,3.02,3.015044584586364
PS2,ACTION,Rockstar Games,Rockstar North,9.6,16.15,8.41,0.47,5.49,1.78,2.8419981736119486
X360,ACTION,Rockstar Games,Rockstar North,7.5,15.86,9.06,0.06,5.33,1.42,2.8249439525737094
PS4,SHOOTER,Activision,Treyarch,8.1,15.09,6.18,0.41,6.05,2.44,2.7781979610042917
X360,SHOOTER,Activision,Infinity Ward,8.7,14.82,9.07,0.13,4.29,1.33,2.761274962339508
X360,SHOOTER,Activision,Treyarch,8.8,14.74,9.76,0.11,3.73,1.14,2.756205242989257
PS4,ACTION-ADVENTURE,Rockstar Games,Rockstar Games,9.8,13.94,5.26,0.21,6.21,2.26,2.7040421797046714
X360,SHOOTER,Activision,Treyarch,8.4,13.86,8.27,0.07,4.32,1.2,2.698673039289613
PS3,SHOOTER,Activision,Treyarch,8.0,13.8,4.99,0.65,5.88,2.28,2.6946271807700692
X360,SHOOTER,Activision,Infinity Ward,9.5,13.53,8.54,0.08,3.63,1.28,2.6762154775821916
PS4,SHOOTER,Activision,Sledgehammer Games,8.1,13.4,4.67,0.4,6.21,2.12,2.667228206581955
PS3,SHOOTER,Activision,Infinity Ward,8.8,13.35,5.54,0.49,5.78,1.54,2.66374994220563
PS2,ACTION,Rockstar Games,DMA Design,9.5,13.1,6.99,0.3,4.51,1.3,2.6461747973841225
PS3,SHOOTER,Activision,Treyarch,8.7,12.67,6.01,0.48,4.4,1.78,2.6152036507358583
PS4,SPORTS,EA Sports,EA Vancouver,8.3,11.8,1.27,0.15,8.64,1.73,2.5494451709255714
X360,ACTION,Rockstar Games,Rockstar North,10.0,11.09,6.8,0.14,3.11,1.04,2.492378664626701
PS4,SPORTS,Electronic Arts,EA Canada,8.9,10.94,1.26,0.12,7.95,1.61,2.479894107964456
PS3,SHOOTER,Activision,Infinity Ward,9.5,10.61,4.99,0.38,3.66,1.59,2.4518667957098
PS3,ACTION,Rockstar Games,Rockstar North,10.0,10.57,4.79,0.44,3.73,1.62,2.448415541205585
X360,SHOOTER,Activision,Infinity Ward,6.9,10.41,6.76,0.04,2.64,0.98,2.4344901638739844
PS3,SHOOTER,Activision,Infinity Ward,7.5,10.13,4.11,0.39,4.01,1.62,2.4096441652874536
X360,SHOOTER,Microsoft Game Studios,Bungie,9.3,9.97,7.08,0.08,2.01,0.8,2.395164274287139
X360,SHOOTER,Microsoft Studios,343 Industries,7.5,9.96,6.72,0.04,2.36,0.83,2.3942522815198695
X360,SHOOTER,Activision,Infinity Ward,9.6,9.41,5.98,0.13,2.39,0.91,2.3427668826268775
PS4,SHOOTER,Activision,Treyarch,7.5,9.32,4.05,0.5,3.28,1.49,2.334083760053417
PS4,SPORTS,Electronic Arts,EA Sports,7.5,9.15,0.84,0.1,6.87,1.34,2.3174737054877963
X360,ROLE-PLAYING,Bethesda Softworks,Bethesda Game Studios,9.3,8.88,5.1,0.1,2.83,0.85,2.2905125117597764
XONE,ACTION,Rockstar Games,Rockstar North,9.0,8.72,4.7,0.01,3.25,0.76,2.2741856184723477
PS4,SHOOTER,Activision,Infinity Ward,7.9,8.48,3.11,0.19,3.83,1.36,2.2491843162669305
PS4,ROLE-PLAYING,Bethesda Softworks,Bethesda Game Studios,8.6,8.48,2.91,0.27,3.97,1.34,2.2491843162669305
PS4,SPORTS,EA Sports,EA Canada,8.5,8.22,1.15,0.07,5.77,1.23,2.2213750375685026
PS4,SHOOTER,Electronic Arts,EA DICE,7.1,8.03,3.31,0.23,3.19,1.3,2.200552367428894
PS3,SPORTS,EA Sports,EA Canada,7.5,8.01,1.07,0.13,5.13,1.68,2.1983350716202463
PC,SIMULATION,Electronic Arts,EA Redwood Shores,8.5,7.96,1.01,,6.46,0.5,2.192770226986839
PSP,ACTION,Rockstar Games,Rockstar Leeds,8.8,7.72,2.9,0.24,2.83,1.74,2.1656192379208883
PS4,SHOOTER,Activision,Sledgehammer Games,8.5,7.53,2.84,0.14,3.34,1.22,2.143589361503588
X360,SHOOTER,Activision,Treyarch,8.5,7.5,4.88,,1.91,0.71,2.1400661634962708
XONE,SHOOTER,Activision,Treyarch,7.5,7.37,4.63,0.02,2.04,0.68,2.124653884501384
X360,SHOOTER,Electronic Arts,Dice,8.5,7.35,4.47,0.06,2.12,0.69,2.122261538862764
PS4,SHOOTER,Electronic Arts,EA DICE,9.1,7.26,2.2,0.29,3.65,1.12,2.1114245875328868
PS3,SHOOTER,Electronic Arts,Dice,8.5,7.21,2.86,0.35,2.94,1.07,2.105352923464337
PS2,RACING,Electronic Arts,EA Black Box,8.6,7.2,3.27,0.08,2.83,1.02,2.1041341542702074
PS2,RACING,Electronic Arts,EA Black Box,8.3,6.9,2.71,0.08,3.02,1.09,2.066862759472976
WII,MUSIC,Ubisoft,Ubisoft,7.5,6.89,4.05,,2.21,0.62,2.065596134857783
PS2,SHOOTER,Electronic Arts,EA Los Angeles,9.0,6.83,2.93,0.17,2.75,0.99,2.057962510002712
PS3,ACTION,Sony Computer Entertainment,Naughty Dog,9.5,6.74,3.28,0.21,2.22,1.02,2.046401687601636
PS3,SHOOTER,Activision,Infinity Ward,9.5,6.72,3.13,0.28,2.27,1.04,2.0438143640366846
PS3,SPORTS,EA Sports,EA Canada,9.2,6.65,0.84,0.11,4.33,1.37,2.0347056478384444
PS3,SPORTS,EA Sports,EA Canada,7.5,6.61,0.79,0.07,4.77,0.98,2.0294631718735947
PS3,ACTION,Rockstar Games,Rockstar San Diego,9.5,6.57,2.82,0.17,2.58,1.0,2.0241930674493576
X360,ACTION,Rockstar Games,Rockstar San Diego,9.5,6.5,3.77,0.09,2.03,0.6,2.0149030205422647
PS3,ACTION-ADVENTURE,Ubisoft,Ubisoft Montreal,8.8,6.5,2.65,0.16,2.61,1.08,2.0149030205422647
PS3,ROLE-PLAYING,Bethesda Softworks,Bethesda Game Studios,9.0,6.49,2.57,0.25,2.68,0.99,2.0135687975291283
PS4,MISC,Sony Computer Entertainment,Mojang,9.4,6.33,1.89,0.35,3.13,0.96,1.9919755158985601
PS4,SPORTS,EA Sports,EA Canada,8.1,6.32,0.83,0.05,4.49,0.94,1.9906103279732201
PS,ACTION,GT Interactive,Reflections Interactive,8.5,6.27,3.11,0.02,2.8,0.33,1.9837562915454279
XONE,SHOOTER,Activision,Sledgehammer Games,7.5,6.23,3.75,,1.91,0.57,1.9782390361706734
PS3,MISC,Sony Computer Entertainment America,Mojang,7.5,6.05,2.21,,2.86,0.99,1.9530276168241774
XONE,ACTION-ADVENTURE,Rockstar Games,Rockstar Games,7.5,5.77,3.76,,1.47,0.54,1.9125010869241836
PS4,SHOOTER,Activision,Bungie,7.5,5.76,2.53,0.16,2.13,0.94,1.9110228900548727
PS,FIGHTING,Namco,Namco,9.1,5.74,2.26,1.36,1.89,0.23,1.9080599249242156
WII,ACTION,LucasArts,Traveller's Tales,8.0,5.66,3.57,,1.57,0.52,1.8961194845522977
DS,SIMULATION,Majesco,Office Create,6.6,5.66,3.09,0.07,1.92,0.58,1.8961194845522977
PS3,ACTION,Ubisoft,Ubisoft Montreal,9.0,5.57,2.54,0.21,1.95,0.86,1.8825138324965192
X360,ACTION,Ubisoft,Ubisoft Montreal,8.2,5.55,3.28,0.07,1.64,0.56,1.8794650496471605
PS3,ACTION,Warner Bros. Interactive,Rocksteady Studios,9.6,5.54,2.72,0.11,1.89,0.82,1.8779371654691073
X360,RACING,Microsoft Game Studios,Turn 10 Studios,9.2,5.5,2.99,0.1,1.9,0.51,1.8718021769015913
PS3,SHOOTER,Activision,Treyarch,8.4,5.43,2.75,,1.84,0.84,1.860974538249528
XONE,MISC,Microsoft Studios,Mojang,7.5,5.43,3.23,,1.71,0.49,1.860974538249528
PS2,PLATFORM,Universal Interactive,Traveller's Tales,6.9,5.42,2.07,0.24,2.29,0.82,1.8594181177018698
PS3,ROLE-PLAYING,Square Enix,Square Enix,8.0,5.35,1.75,1.87,1.23,0.51,1.8484548129046001
X360,ACTION-ADVENTURE,Ubisoft,Ubisoft Montreal,7.5,5.31,3.13,0.03,1.71,0.45,1.8421356765531218
X360,ACTION,Ubisoft,Ubisoft Montreal,9.1,5.3,3.14,0.08,1.55,0.52,1.840549633397487
PS,ADVENTURE,Eidos Interactive,Core Design Ltd.,7.6,5.24,2.3,0.2,2.46,0.28,1.8309801823813363
PS2,SPORTS,EA Sports,EA Tiburon,9.5,5.23,4.26,0.01,0.26,0.71,1.8293763327993617
XONE,SHOOTER,Activision,Sledgehammer Games,8.3,5.22,3.25,0.01,1.49,0.48,1.827769906751088
PS2,SHOOTER,Electronic Arts,EA Los Angeles,5.9,5.13,1.98,0.13,2.23,0.8,1.81319474994812
XONE,SHOOTER,Electronic Arts,EA DICE,9.3,5.13,3.37,0.02,1.26,0.48,1.81319474994812
PC,SIMULATION,Microsoft,Microsoft,7.0,5.12,3.22,,1.69,0.2,1.8115620965242347
PS2,MISC,RedOctane,Harmonix Music Systems,9.2,5.12,3.81,,0.63,0.68,1.8115620965242347
X360,SPORTS,EA Sports,EA Canada,7.5,5.11,1.1,0.03,3.49,0.5,1.809926773183504
DS,SPORTS,Sega,Sega,7.0,5.1,1.63,0.44,2.46,0.57,1.8082887711792655
X360,ROLE-PLAYING,Microsoft Game Studios,Lionhead Studios,7.8,5.1,3.59,0.05,1.09,0.37,1.8082887711792655
PS3,ACTION,Capcom,Capcom,8.6,5.1,1.96,1.08,1.42,0.64,1.8082887711792655
PS3,SPORTS,EA Sports,EA Canada,8.7,5.08,0.61,0.06,3.28,1.12,1.8050046959780757
PSP,ACTION,Rockstar Games,Rockstar Leeds,8.4,5.08,1.7,0.16,2.03,1.19,1.8050046959780757
PS4,ROLE-PLAYING,Square Enix,Square Enix,8.1,5.07,1.81,1.05,1.53,0.68,1.803358605071407
XONE,ROLE-PLAYING,Bethesda Softworks,Bethesda Game Studios,8.4,5.03,2.94,0.02,1.62,0.45,1.7967470107390942
PS,SPORTS,Activision,Neversoft Entertainment,9.6,5.02,3.42,0.02,1.38,0.2,1.7950872593207297
PS,STRATEGY,Eidos Interactive,Pumpkin Studios,7.5,5.01,2.79,,1.89,0.33,1.7934247485471162
PS2,MISC,RedOctane,BudCat Creations,8.2,4.98,3.49,0.01,0.01,1.48,1.7884205679625405
PS3,ACTION,Sony Computer Entertainment,Naughty Dog,8.7,4.97,2.32,0.12,1.73,0.8,1.7867469274045107
X360,ROLE-PLAYING,Bethesda Softworks,Bethesda Game Studios,9.0,4.96,3.41,0.09,0.99,0.46,1.7850704810772584
PS2,SPORTS,EA Sports,EA Tiburon,9.1,4.91,3.98,0.01,0.26,0.66,1.776645831418007
XONE,SHOOTER,Activision,Treyarch,7.5,4.85,3.27,,1.12,0.46,1.766441661243765
PS3,ACTION,Ubisoft,Ubisoft Montreal,8.2,4.83,1.91,0.09,2.01,0.82,1.763017000362401
PS4,PLATFORM,Activision,Vicarious Visions,7.5,4.83,1.09,0.07,2.92,0.74,1.763017000362401
XONE,SHOOTER,Activision,Infinity Ward,7.5,4.79,2.91,,1.44,0.44,1.7561322915849038
PS,RACING,Sony Computer Entertainment,Naughty Dog,9.2,4.79,2.57,0.44,1.57,0.21,1.7561322915849038
DS,ACTION,LucasArts,Traveller's Tales,7.8,4.77,2.83,,1.49,0.45,1.7526720805200082
X360,ACTION,Warner Bros. Interactive,Rocksteady Studios,9.5,4.75,2.99,0.04,1.28,0.44,1.749199854809259
PS,ACTION,Atari,Reflections Interactive,7.0,4.73,2.36,0.02,2.1,0.25,1.7457155307266483
PS2,RACING,VU Games,Radical Entertainment,7.7,4.7,1.73,,2.19,0.79,1.7404661748405046
PS,SPORTS,Activision,Neversoft Entertainment,9.3,4.68,3.05,0.02,1.41,0.2,1.7369512327330598
PS2,ACTION,Electronic Arts,Stormfront Studios,8.3,4.67,1.94,0.08,1.95,0.7,1.7351891177396608
PS,ACTION,Eidos Interactive,Core Design Ltd.,8.9,4.63,2.29,0.13,1.97,0.24,1.728109442151599
X360,RACING,Microsoft Studios,Turn 10 Studio,9.1,4.6,2.08,0.06,1.98,0.49,1.7227665977411035
WII,MISC,RedOctane,Vicarious Visions,8.6,4.6,3.04,0.0,1.12,0.44,1.7227665977411035
PS3,SPORTS,EA Sports,EA Canada,6.9,4.56,0.59,0.04,3.25,0.68,1.715598108262491
WII,SPORTS,Sega,Sega,6.8,4.54,1.87,0.22,1.97,0.48,1.7119945007591924
PS4,SHOOTER,Blizzard Entertainment,Blizzard Entertainment,8.8,4.54,1.84,0.17,1.8,0.73,1.7119945007591924
X360,MISC,RedOctane,Neversoft,8.7,4.53,3.19,0.01,0.91,0.42,1.7101878155342434
PS4,SHOOTER,Electronic Arts,EA DICE,7.5,4.53,1.7,0.12,1.99,0.73,1.7101878155342434
PS2,SPORTS,EA Sports,EA Tiburon,9.5,4.53,4.18,0.01,0.26,0.08,1.7101878155342434
PS2,ACTION,Activision,Treyarch,8.2,4.48,2.71,0.03,1.51,0.23,1.7011051009599243
X360,ROLE-PLAYING,Take-Two Interactive,Bethesda Softworks,9.2,4.47,2.89,0.13,1.03,0.41,1.6992786164338898
PS2,SPORTS,Activision,Neversoft Entertainment,9.1,4.41,2.66,0.01,1.29,0.46,1.6882490928583902
PS2,SPORTS,Konami,Konami Computer Entertainment Tokyo,8.8,4.39,0.1,1.05,2.39,0.86,1.6845453849209058
PS4,SHOOTER,Ubisoft,Massive Entertainment,7.5,4.37,1.49,0.16,2.04,0.69,1.6808279085207734
PS2,RACING,Electronic Arts,EA Canada,8.6,4.37,2.03,0.08,1.79,0.47,1.6808279085207734
WII,MISC,Ubisoft,Ubisoft Montpellier,5.6,4.37,2.64,0.01,1.33,0.39,1.6808279085207734
PS4,SHOOTER,Ubisoft,Ubisoft Montreal,7.5,4.36,1.29,0.36,2.06,0.64,1.6789639750827108
X360,SHOOTER,Activision,High Moon Studios,9.1,4.34,2.81,0.0,1.13,0.41,1.6752256529721035
PS4,ACTION-ADVENTURE,Ubisoft,Ubisoft Montreal,7.5,4.32,1.4,0.11,2.13,0.68,1.6714733033535532
2600,SHOOTER,Atari,Atari,7.5,4.31,4.0,,0.26,0.05,1.6695918352538475
PS3,ACTION,Eidos Interactive,Rocksteady Studios,9.0,4.28,2.26,0.07,1.33,0.63,1.6639260977181702
PS3,SHOOTER,Activision,High Moon Studios,9.1,4.27,1.59,0.2,1.81,0.67,1.6620303625532709
GBA,MISC,Namco,Mass Media,7.5,4.24,3.0,0.05,1.11,0.07,1.6563214983329508
PS3,ACTION,Ubisoft,Ubisoft Montreal,8.8,4.23,1.41,0.1,2.03,0.69,1.6544112780768316
X360,ACTION,Ubisoft,Ubisoft Montreal,7.9,4.22,2.28,0.04,1.47,0.44,1.6524974018945473
PS2,SPORTS,EA Sports,EA Canada,8.4,4.21,0.78,0.04,2.55,0.84,1.6505798557652755
PS3,FIGHTING,Capcom,Capcom / Dimps Corporation,9.3,4.19,2.04,0.59,1.05,0.52,1.6467336971777973
X360,SPORTS,EA Sports,EA Canada,9.2,4.18,0.85,0.02,2.79,0.52,1.6448050562713916
PS4,SHOOTER,Activision,Infinity Ward,7.5,4.17,1.79,0.05,1.64,0.69,1.6428726885203377
NES,PLATFORM,Ultra Games,Konami,5.9,4.17,3.38,0.31,0.44,0.04,1.6428726885203377
PS,ACTION,Hasbro Interactive,Millenium Interactive,7.5,4.16,3.79,,0.27,0.11,1.6409365794934714
X360,SPORTS,EA Sports,EA Canada,7.5,4.15,0.94,0.01,2.92,0.29,1.6389967146756448
XONE,SHOOTER,Electronic Arts,EA DICE,6.9,4.15,2.49,0.02,1.26,0.38,1.6389967146756448
PS2,SPORTS,EA Sports,EA Tiburon,9.4,4.14,3.36,0.01,0.21,0.56,1.6370530794670737
PS4,ACTION,Ubisoft,Ubisoft Montreal,7.5,4.14,1.25,0.09,2.16,0.65,1.6370530794670737
PS4,SHOOTER,Activision,Bungie,7.5,4.14,1.92,0.1,1.44,0.69,1.6370530794670737
PS2,SPORTS,EA Sports,Team Fusion,8.4,4.11,0.71,0.03,2.48,0.89,1.631199404215613
PS4,ACTION,Warner Bros. Interactive,Rocksteady Studios,8.1,4.11,1.65,0.11,1.68,0.66,1.631199404215613
PC,SIMULATION,Electronic Arts,Maxis,7.0,4.1,1.2,,2.6,0.3,1.62924053973028
X360,ROLE-PLAYING,Bethesda Softworks,Obsidian Entertainment,8.2,4.08,2.67,0.04,1.03,0.34,1.6253112615903906
WII,MISC,Global Star Software,Cat Daddy Games,4.2,4.06,2.12,0.05,1.47,0.42,1.6213664832993742
PS4,SHOOTER,Ubisoft,Ubisoft Montreal,8.4,4.06,1.18,0.11,2.14,0.63,1.6213664832993742
PS4,ACTION,Ubisoft,Ubisoft Montreal,7.5,4.06,1.22,0.11,2.11,0.63,1.6213664832993742
PS2,SPORTS,Konami,Konami Computer Entertainment Tokyo,8.9,4.06,0.12,0.9,2.26,0.77,1.6213664832993742
X360,RACING,Microsoft Game Studios,Turn 10 Studios,9.1,4.05,2.35,0.03,1.27,0.41,1.6193882432872684
PS,MISC,Namco,Namco,7.5,4.05,2.28,0.16,1.55,0.06,1.6193882432872684
PS2,FIGHTING,Namco,Namco,8.7,4.05,1.68,0.51,1.51,0.35,1.6193882432872684
PS3,ROLE-PLAYING,Bethesda Softworks,Bethesda Game Studios,8.8,4.0,2.18,0.07,1.15,0.61,1.6094379124341003
PC,ROLE-PLAYING,Bethesda Softworks,Bethesda Game Studios,9.2,3.99,1.18,,2.25,0.56,1.6074359097634274
PS4,SPORTS,2K Sports,Visual Concepts,8.7,3.98,2.56,0.05,0.66,0.71,1.6054298910365616
PS2,MISC,Namco,Digital Eclipse,7.5,3.98,2.08,,1.35,0.54,1.6054298910365616
PS4,ACTION,Ubisoft,Ubisoft,7.9,3.95,1.44,0.15,1.73,0.62,1.599387576580599
PS4,SHOOTER,Electronic Arts,EA DICE,8.3,3.94,1.4,0.19,1.74,0.62,1.597365331199831
PS3,ACTION-ADVENTURE,Ubisoft,Ubisoft Montreal,8.7,3.94,1.34,0.13,1.86,0.62,1.597365331199831
PS2,SPORTS,Activision,Neversoft Entertainment,8.7,3.9,2.29,0.01,1.17,0.42,1.589235205116581
WII,MUSIC,Ubisoft,Ubisoft Paris,7.4,3.89,1.91,,1.66,0.33,1.5871923034867808
PS3,SPORTS,Sony Computer Entertainment,SCE San Diego Studio,7.6,3.88,2.15,0.1,1.13,0.5,1.5851452198650557
PS2,SPORTS,Konami,Konami Computer Entertainment Tokyo,9.3,3.85,0.16,1.12,1.89,0.68,1.5789787049493917
PS,MISC,Namco,Namco,7.5,3.84,2.12,0.22,1.44,0.06,1.5769147207285403
X360,ADVENTURE,LucasArts,Traveller's Tales,7.5,3.76,2.4,,1.01,0.36,1.5602476682433286
PC,SIMULATION,Electronic Arts,Maxis,7.3,3.76,2.03,,1.56,0.17,1.5602476682433286
PSP,PLATFORM,Sony Computer Entertainment,High Impact Games,8.5,3.75,1.4,0.1,1.4,0.86,1.55814461804655
XONE,SPORTS,Electronic Arts,EA Canada,8.8,3.71,1.04,,2.4,0.27,1.5496879080283263
PS2,SPORTS,EA Sports,EA Canada,8.4,3.7,0.58,0.04,2.48,0.59,1.547562508716013
PS2,SPORTS,Activision,Neversoft Entertainment,9.6,3.67,2.13,0.01,1.18,0.35,1.541159071680806
DS,SIMULATION,Electronic Arts,EA Redwood Shores,6.7,3.66,1.58,0.08,1.6,0.4,1.5390154481375546
PSP,RACING,Rockstar Games,Rockstar Leeds,7.2,3.66,1.65,,1.22,0.79,1.5390154481375546
PS2,SHOOTER,Sony Computer Entertainment,Zipper Interactive,8.0,3.65,2.53,0.06,0.81,0.24,1.536867219599265
PS3,SHOOTER,Electronic Arts,EA DICE,8.7,3.64,1.31,0.27,1.5,0.55,1.534714366238164
PS2,PLATFORM,Sony Computer Entertainment,Naughty Dog,9.0,3.64,2.08,0.15,1.09,0.33,1.534714366238164
PS2,SPORTS,Konami,Konami,8.2,3.63,0.05,0.64,0.0,2.93,1.5325568680981427
PS3,SPORTS,EA Sports,EA Canada,9.0,3.63,0.6,0.05,2.46,0.52,1.5325568680981427
WII,MISC,Activision,Vicarious Visions,8.4,3.62,2.32,,0.96,0.34,1.5303947050936475
PS2,RACING,Electronic Arts,Radical Entertainment,6.1,3.61,2.02,,1.17,0.42,1.528227857008557
PS2,SHOOTER,LucasArts,Pandemic Studios,8.1,3.61,1.93,0.03,1.22,0.44,1.528227857008557
PC,SHOOTER,GT Interactive,id Software,9.3,3.61,2.05,,1.4,0.16,1.528227857008557
PS4,ACTION,Ubisoft,Ubisoft Quebec,8.6,3.6,0.9,0.08,2.06,0.55,1.5260563034950492
PS2,SHOOTER,LucasArts,Pandemic Studios,8.5,3.59,2.18,0.03,1.02,0.37,1.5238800240724537
XONE,ACTION,Ubisoft,Ubisoft Montreal,7.5,3.58,2.34,0.0,0.9,0.34,1.5216989981260935
PS,FIGHTING,THQ,Yuke's,7.5,3.58,2.01,0.06,1.35,0.16,1.5216989981260935
DS,SIMULATION,Majesco,Office Create,6.9,3.58,1.6,0.1,1.49,0.39,1.5216989981260935
PS2,ACTION,Sony Computer Entertainment,Team Soho,7.7,3.54,1.23,0.05,1.77,0.49,1.5129270120532565
PS,ADVENTURE,Eidos Interactive,Core Design Ltd.,8.2,3.54,1.66,0.12,1.58,0.18,1.5129270120532565
PS2,ACTION,Rockstar Games,Rockstar Leeds,8.3,3.54,1.56,0.07,1.4,0.5,1.5129270120532565
X360,SHOOTER,Electronic Arts,EA DICE,8.7,3.54,2.16,0.02,1.05,0.32,1.5129270120532565
X360,ACTION,Eidos Interactive,Rocksteady Studios,9.1,3.54,2.24,0.02,0.95,0.33,1.5129270120532565
X360,ACTION,Capcom,Capcom,8.6,3.53,2.13,0.12,0.93,0.34,1.5107219394949425
X360,ACTION,Ubisoft,Ubisoft Montreal,9.1,3.53,2.87,0.03,0.39,0.25,1.5107219394949425
PS2,ACTION,Eidos Interactive,Traveller's Tales,7.9,3.53,1.98,0.01,1.14,0.41,1.5107219394949425
PS2,SHOOTER,Electronic Arts,EA Redwood Shores,7.5,3.53,1.9,0.1,1.13,0.41,1.5107219394949425
PS,ACTION,THQ,Avalanche Software,7.5,3.52,1.96,,1.33,0.23,1.5085119938441398
X360,SPORTS,EA Sports,EA Canada,8.7,3.52,0.71,0.02,2.39,0.4,1.5085119938441398
PS4,SPORTS,2K Sports,Visual Concepts,9.0,3.52,2.28,0.03,0.59,0.63,1.5085119938441398
PS4,FIGHTING,Warner Bros. Interactive Entertainment,NetherRealm Studios,7.5,3.49,1.94,,0.94,0.61,1.501852701754163
PS2,SPORTS,EA Sports,EA Canada,8.0,3.49,0.59,0.04,2.36,0.51,1.501852701754163
X360,SHOOTER,2K Games,Gearbox Software,8.3,3.48,2.43,0.03,0.72,0.3,1.4996230464268938
X360,SHOOTER,Electronic Arts,EA Digital Illusions CE,9.0,3.48,2.11,0.04,1.01,0.33,1.4996230464268938
DS,SPORTS,Sega,Sega,7.6,3.47,1.21,0.27,1.63,0.37,1.4973884086254776
DS,MISC,Activision,Vicarious Visions,7.1,3.46,2.1,0.01,1.01,0.35,1.4951487660319727
PS2,FIGHTING,Namco,Namco,7.9,3.44,1.55,0.33,1.27,0.29,1.4906543764441333
X360,ADVENTURE,Warner Bros. Interactive,Traveller's Tales,7.5,3.44,2.07,,1.04,0.34,1.4906543764441333
XONE,SHOOTER,Microsoft Studios,343 Industries,8.8,3.44,2.06,0.03,1.04,0.31,1.4906543764441333
PS3,PLATFORM,Sony Computer Entertainment,Media Molecule,9.1,3.43,1.83,0.06,1.07,0.47,1.4883995840570443
PS4,SPORTS,EA Sports,EA Canada,7.5,3.43,0.62,0.12,2.18,0.51,1.4883995840570443
PS,ACTION,Rockstar Games,DMA Design,6.9,3.42,1.13,,2.07,0.22,1.4861396960896067
XONE,SHOOTER,Activision,Bungie,8.3,3.41,2.17,,0.92,0.32,1.4838746894587547
PS2,ACTION,Activision,Treyarch,7.9,3.41,1.75,0.02,1.2,0.43,1.4838746894587547
PS2,SPORTS,EA Sports,EA Canada,7.5,3.4,0.46,0.05,2.28,0.61,1.4816045409242156
PS,MISC,Sony Computer Entertainment,Eurocom Entertainment Software,6.8,3.39,1.56,0.19,1.47,0.17,1.4793292270870801
XONE,SHOOTER,Microsoft Studios,The Coalition,7.5,3.38,2.17,,0.9,0.32,1.4770487243883548
PS4,ROLE-PLAYING,Bethesda Softworks,Bethesda Softworks,8.3,3.36,1.24,0.08,1.5,0.54,1.4724720573609429
PS4,ACTION,Ubisoft,Ubisoft,7.5,3.36,0.98,0.12,1.74,0.52,1.4724720573609429
PS,FIGHTING,Acclaim Entertainment,Iguana Entertainment,7.5,3.36,2.47,,0.76,0.13,1.4724720573609429
X360,ACTION-ADVENTURE,Ubisoft,Ubisoft Montreal,8.5,3.34,1.9,0.01,1.14,0.3,1.4678743481123135
PS4,SPORTS,2K Sports,Visual Concepts,8.1,3.34,2.13,0.04,0.57,0.59,1.4678743481123135
PS2,SHOOTER,Electronic Arts,Eurocom Entertainment Software,7.5,3.33,1.45,0.12,1.29,0.46,1.4655675420143985
PS2,ACTION,LucasArts,The Collective,7.5,3.32,1.47,0.03,1.39,0.43,1.463255402256019
PS2,SHOOTER,Rockstar Games,Remedy Entertainment,8.1,3.31,1.99,0.05,1.05,0.22,1.4609379041156565
PS4,SPORTS,EA Sports,EA Tiburon,8.2,3.3,2.39,,0.31,0.61,1.4586150226995167
PS2,ACTION,Electronic Arts,"Hypnos Entertainment, Inc.",8.4,3.28,1.5,0.05,1.28,0.46,1.4539530095937052
PS4,SPORTS,EA Sports,EA Tiburon,8.5,3.28,2.3,,0.37,0.6,1.4539530095937052
PSP,RACING,Sony Computer Entertainment,Polyphony Digital,7.5,3.27,0.51,0.31,1.59,0.86,1.451613827240533
PS3,SHOOTER,Ubisoft,Ubisoft Montreal,7.5,3.27,0.88,0.1,1.79,0.5,1.451613827240533
PS2,ACTION,Activision,Luxoflux,7.5,3.27,1.89,0.02,1.05,0.31,1.451613827240533
XONE,SPORTS,EA Sports,EA Canada,8.5,3.25,0.92,,2.1,0.24,1.4469189829363254
PS3,ADVENTURE,Rockstar Games,Team Bondi,9.1,3.21,1.29,0.12,1.31,0.49,1.43746264769429
PS,SHOOTER,Electronic Arts,Black Ops Entertainment,6.2,3.21,1.72,,1.33,0.16,1.43746264769429
PS,FIGHTING,THQ,Yuke's,8.7,3.2,1.76,0.07,1.21,0.16,1.4350845252893227
PS4,ACTION-ADVENTURE,Ubisoft,Ubisoft Montreal,8.3,3.19,1.07,0.06,1.55,0.51,1.4327007339340463
PS2,ACTION,Atari,Shiny Entertainment,7.5,3.18,1.78,0.09,1.12,0.19,1.430311246536665
PS4,ACTION-ADVENTURE,Ubisoft,Ubisoft Quebec,9.5,3.18,1.18,0.09,1.4,0.51,1.430311246536665
PS3,ROLE-PLAYING,Bethesda Softworks,Obsidian Entertainment,8.2,3.17,1.54,0.1,1.04,0.49,1.4279160358107101
PS2,SPORTS,EA Sports,EA Canada,7.5,3.14,0.68,,0.0,2.46,1.420695787837223
DS,ADVENTURE,Disney Interactive Studios,1st Playable Productions,7.0,3.14,1.87,,0.97,0.3,1.420695787837223
XONE,SPORTS,EA Sports,EA Vancouver,8.0,3.14,0.98,,1.92,0.23,1.420695787837223
PS,ACTION,Activision,Neversoft Entertainment,7.5,3.13,1.7,0.02,1.25,0.16,1.4182774069729414
