Feature,Importance Score
developer,0.6156264735828749
critic_score,0.12155483117553048
developer_game_count,0.08262328069868313
publisher,0.04890444865888674
publisher_game_count,0.027216648962406508
console_PS2,0.014974655408389137
console_PC,0.013996919120158319
console_PS4,0.008580000639104478
release_year_bin_era_1,0.007734877828353248
genre_SHOOTER,0.006885410218279213
